event_id,user_id,session_id,feature_name,event_time,event_type
1,531,3051,Billing,2026-01-31 04:51:57,Click
2,297,1399,Dashboard,2025-03-03 09:18:25,Download
3,864,1054,Settings,2025-11-15 00:01:29,Download
4,913,2117,Export,2024-08-21 07:17:27,Update
5,129,2100,Dashboard,2025-11-23 02:17:35,Update
6,942,2903,Billing,2024-08-23 05:21:00,Update
7,441,1687,Notifications,2025-03-17 17:35:15,View
8,308,2287,Export,2025-01-02 15:29:17,Click
9,146,617,Analytics,2025-08-27 07:08:27,Update
10,27,661,Notifications,2025-09-26 00:26:17,Click
11,533,2761,Login,2026-04-14 16:15:26,Click
12,264,2192,Billing,2024-10-13 13:52:56,Download
13,583,3445,Settings,2025-12-11 09:50:44,View
14,4,32,Login,2025-12-05 11:57:55,Click
15,29,920,Billing,2025-11-11 23:15:24,Upload
16,25,294,Notifications,2024-10-08 15:54:11,Click
17,909,2212,Dashboard,2025-06-09 06:45:28,Download
18,128,1779,Notifications,2026-03-02 21:21:47,View
19,42,3239,Login,2025-05-25 00:54:29,Update
20,639,764,Billing,2024-11-06 21:04:26,View
21,796,2422,Reports,2026-01-20 02:25:50,Upload
22,827,838,Export,2025-02-01 16:58:02,View
23,869,261,Export,2025-05-02 00:56:26,Update
24,123,2342,Search,2026-02-24 03:14:54,Click
25,474,397,Reports,2026-07-02 05:09:58,View
26,298,3398,Settings,2025-09-17 20:36:31,Upload
27,571,506,Billing,2025-02-06 12:11:07,View
28,133,2410,Reports,2025-06-20 13:06:36,View
29,414,253,Export,2026-04-01 22:23:17,Download
30,732,800,Profile,2025-12-04 15:53:05,Upload
31,829,49,Billing,2026-03-09 10:37:35,Update
32,969,1894,Notifications,2026-03-30 05:25:51,Update
33,128,940,Profile,2025-04-01 16:37:08,Click
34,642,228,Search,2025-09-28 13:14:09,Download
35,461,1598,Profile,2024-08-14 03:57:44,Download
36,602,481,Notifications,2025-11-21 10:00:31,Update
37,587,2083,Search,2024-12-20 01:56:16,View
38,964,585,Export,2026-01-15 07:48:00,Update
39,506,1061,Profile,2026-07-04 22:27:14,View
40,929,1950,Billing,2025-09-09 18:53:30,Update
41,385,2682,Profile,2024-11-30 06:26:35,View
42,790,1192,Search,2025-12-02 19:05:07,Download
43,378,3404,Profile,2025-05-01 22:25:30,Update
44,170,1538,Notifications,2026-02-18 19:56:25,Click
45,931,3064,Notifications,2025-01-11 09:30:43,Download
46,290,299,Notifications,2024-12-31 08:00:49,Download
47,968,1386,Dashboard,2024-10-27 16:38:03,Update
48,352,1282,Billing,2024-08-12 04:39:45,Update
49,51,1149,Reports,2026-05-23 10:06:31,Download
50,359,3167,Search,2026-02-15 14:43:16,Download
