session_id,user_id,login_time,logout_time,session_duration,device,browser
1,700,2025-12-31 22:57:14,2026-01-01 01:11:14,134,Mobile,Firefox
2,360,2024-07-12 05:34:06,2024-07-12 06:14:06,40,Tablet,Firefox
3,118,2025-07-31 11:16:08,2025-07-31 11:27:08,11,Desktop,Chrome
4,180,2024-11-04 09:05:46,2024-11-04 11:46:46,161,Mobile,Safari
5,217,2025-02-19 08:45:17,2025-02-19 11:13:17,148,Desktop,Chrome
6,641,2026-01-02 03:50:23,2026-01-02 07:18:23,208,Mobile,Edge
7,939,2024-07-27 01:51:18,2024-07-27 02:55:18,64,Tablet,Firefox
8,890,2024-07-24 14:40:27,2024-07-24 15:00:27,20,Mobile,Safari
9,99,2024-08-22 12:00:50,2024-08-22 14:46:50,166,Tablet,Safari
10,597,2024-09-23 22:30:45,2024-09-24 00:42:45,132,Tablet,Safari
11,574,2024-11-29 04:58:48,2024-11-29 08:33:48,215,Desktop,Edge
12,832,2024-10-27 03:36:12,2024-10-27 04:06:12,30,Mobile,Firefox
13,118,2025-10-25 01:18:43,2025-10-25 04:46:43,208,Desktop,Safari
14,269,2024-08-24 10:59:52,2024-08-24 11:29:52,30,Tablet,Edge
15,680,2025-12-15 18:27:48,2025-12-15 21:10:48,163,Desktop,Edge
16,892,2026-01-11 07:07:16,2026-01-11 11:05:16,238,Desktop,Chrome
17,184,2024-09-22 16:04:33,2024-09-22 19:22:33,198,Mobile,Edge
18,917,2025-03-18 02:02:14,2025-03-18 03:36:14,94,Desktop,Firefox
19,936,2024-07-09 04:35:25,2024-07-09 08:11:25,216,Mobile,Edge
20,772,2024-12-25 08:30:12,2024-12-25 10:49:12,139,Desktop,Firefox
21,598,2025-08-14 07:44:15,2025-08-14 10:13:15,149,Tablet,Firefox
22,194,2025-08-13 20:00:02,2025-08-13 23:59:02,239,Mobile,Safari
23,846,2025-07-20 21:01:41,2025-07-20 23:13:41,132,Desktop,Firefox
24,387,2026-06-17 23:39:30,2026-06-18 03:05:30,206,Desktop,Safari
25,333,2025-02-04 19:13:06,2025-02-04 22:04:06,171,Desktop,Firefox
26,376,2024-11-20 02:00:26,2024-11-20 05:41:26,221,Desktop,Safari
27,413,2025-12-29 12:36:39,2025-12-29 16:09:39,213,Tablet,Firefox
28,577,2026-05-10 23:21:43,2026-05-11 00:22:43,61,Mobile,Firefox
29,383,2024-08-13 12:48:18,2024-08-13 16:45:18,237,Mobile,Chrome
30,954,2025-01-16 11:31:38,2025-01-16 12:18:38,47,Desktop,Edge
31,903,2026-03-22 15:35:11,2026-03-22 16:49:11,74,Mobile,Firefox
32,4,2025-04-25 05:11:49,2025-04-25 08:08:49,177,Desktop,Safari
33,813,2025-06-20 18:51:35,2025-06-20 19:24:35,33,Desktop,Firefox
34,347,2025-05-13 18:20:44,2025-05-13 20:36:44,136,Tablet,Safari
35,506,2026-04-30 22:27:53,2026-04-30 22:55:53,28,Desktop,Chrome
36,208,2026-02-10 18:56:13,2026-02-10 22:21:13,205,Tablet,Chrome
37,755,2025-11-15 21:38:56,2025-11-16 01:07:56,209,Tablet,Chrome
38,541,2025-11-01 16:16:16,2025-11-01 19:53:16,217,Mobile,Firefox
39,852,2024-07-12 16:28:45,2024-07-12 17:48:45,80,Desktop,Edge
40,919,2025-11-03 19:44:28,2025-11-03 23:35:28,231,Tablet,Edge
41,220,2025-11-09 21:33:06,2025-11-09 21:49:06,16,Mobile,Edge
42,214,2024-11-22 14:54:11,2024-11-22 15:44:11,50,Desktop,Firefox
43,290,2024-10-06 00:50:28,2024-10-06 00:56:28,6,Tablet,Firefox
44,258,2026-07-01 21:33:20,2026-07-01 23:13:20,100,Desktop,Edge
45,705,2026-04-09 19:27:18,2026-04-09 21:28:18,121,Tablet,Safari
46,688,2026-02-13 16:53:33,2026-02-13 20:17:33,204,Tablet,Firefox
47,882,2024-10-22 03:24:42,2024-10-22 06:50:42,206,Desktop,Firefox
48,87,2026-03-09 14:13:32,2026-03-09 17:38:32,205,Mobile,Edge
49,829,2025-03-09 20:14:10,2025-03-09 22:21:10,127,Desktop,Safari
50,356,2024-12-18 02:11:03,2024-12-18 04:02:03,111,Tablet,Firefox
51,235,2025-03-16 06:01:06,2025-03-16 07:55:06,114,Mobile,Firefox
52,938,2025-09-06 05:47:00,2025-09-06 09:28:00,221,Tablet,Safari
53,589,2025-10-01 10:40:03,2025-10-01 12:15:03,95,Tablet,Safari
54,225,2026-03-12 14:00:37,2026-03-12 14:16:37,16,Desktop,Firefox
55,70,2024-09-24 07:00:41,2024-09-24 09:01:41,121,Desktop,Safari
56,265,2025-08-11 09:29:54,2025-08-11 11:52:54,143,Desktop,Edge
57,145,2025-08-05 06:48:53,2025-08-05 09:50:53,182,Mobile,Firefox
58,94,2024-11-30 14:02:29,2024-11-30 14:43:29,41,Tablet,Edge
59,107,2024-09-18 16:39:48,2024-09-18 18:57:48,138,Mobile,Edge
60,613,2026-06-15 13:35:37,2026-06-15 16:42:37,187,Mobile,Firefox
61,383,2025-09-01 18:34:07,2025-09-01 20:24:07,110,Tablet,Safari
62,142,2025-08-24 20:06:11,2025-08-24 23:30:11,204,Tablet,Chrome
63,183,2024-11-07 08:27:11,2024-11-07 08:47:11,20,Tablet,Safari
64,757,2025-07-08 19:11:51,2025-07-08 19:55:51,44,Desktop,Firefox
65,164,2025-02-08 17:11:01,2025-02-08 19:22:01,131,Mobile,Chrome
66,828,2025-04-11 18:34:17,2025-04-11 18:45:17,11,Mobile,Edge
67,417,2025-09-20 22:26:23,2025-09-21 02:15:23,229,Desktop,Edge
68,362,2025-07-28 09:30:14,2025-07-28 10:32:14,62,Desktop,Safari
69,508,2024-10-27 19:49:51,2024-10-27 20:08:51,19,Mobile,Edge
70,946,2024-08-25 04:30:34,2024-08-25 08:11:34,221,Desktop,Firefox
71,566,2024-08-06 16:21:08,2024-08-06 20:00:08,219,Tablet,Firefox
72,803,2024-11-14 15:27:43,2024-11-14 16:48:43,81,Tablet,Chrome
73,46,2024-07-08 20:28:34,2024-07-08 23:50:34,202,Desktop,Firefox
74,499,2024-10-03 12:31:57,2024-10-03 16:08:57,217,Mobile,Firefox
75,278,2025-05-04 06:59:49,2025-05-04 08:50:49,111,Mobile,Chrome
76,963,2025-12-29 05:31:05,2025-12-29 06:02:05,31,Tablet,Safari
77,794,2024-11-28 08:43:02,2024-11-28 12:42:02,239,Tablet,Firefox
78,300,2026-06-29 20:16:57,2026-06-29 23:03:57,167,Desktop,Chrome
79,440,2026-01-03 06:12:03,2026-01-03 06:45:03,33,Tablet,Edge
80,980,2024-09-30 15:37:06,2024-09-30 19:19:06,222,Mobile,Firefox
81,439,2024-12-10 00:28:09,2024-12-10 03:49:09,201,Mobile,Safari
82,617,2025-03-03 18:06:17,2025-03-03 20:45:17,159,Mobile,Firefox
83,773,2026-04-21 00:13:10,2026-04-21 02:29:10,136,Desktop,Chrome
84,526,2026-05-30 12:06:31,2026-05-30 15:41:31,215,Mobile,Chrome
85,377,2024-11-14 22:36:22,2024-11-15 00:38:22,122,Mobile,Chrome
86,697,2026-04-29 14:16:50,2026-04-29 17:27:50,191,Tablet,Edge
87,355,2026-06-15 17:43:54,2026-06-15 21:21:54,218,Tablet,Firefox
88,724,2024-07-26 06:08:32,2024-07-26 09:12:32,184,Tablet,Chrome
89,68,2024-09-11 09:54:51,2024-09-11 12:37:51,163,Mobile,Firefox
90,799,2025-02-12 09:22:40,2025-02-12 10:45:40,83,Tablet,Chrome
91,957,2024-11-07 04:41:54,2024-11-07 04:52:54,11,Tablet,Chrome
92,500,2024-11-10 10:17:12,2024-11-10 14:08:12,231,Desktop,Safari
93,850,2025-09-01 02:10:05,2025-09-01 05:28:05,198,Mobile,Firefox
94,53,2026-05-04 17:52:20,2026-05-04 19:54:20,122,Tablet,Edge
95,466,2026-01-30 20:39:43,2026-01-30 23:59:43,200,Mobile,Safari
96,794,2024-10-11 21:57:23,2024-10-11 22:28:23,31,Desktop,Edge
97,215,2025-05-28 02:53:00,2025-05-28 06:16:00,203,Mobile,Firefox
98,989,2026-02-01 22:44:07,2026-02-01 23:56:07,72,Mobile,Safari
99,954,2025-07-06 13:55:55,2025-07-06 17:30:55,215,Desktop,Chrome
100,809,2025-09-17 08:13:21,2025-09-17 09:07:21,54,Mobile,Safari
101,728,2026-05-31 00:50:55,2026-05-31 01:55:55,65,Desktop,Safari
102,947,2025-02-09 09:47:30,2025-02-09 11:07:30,80,Desktop,Edge
103,345,2025-11-07 20:18:51,2025-11-07 23:07:51,169,Desktop,Safari
104,263,2026-02-16 15:31:14,2026-02-16 18:38:14,187,Tablet,Chrome
105,78,2024-08-19 12:24:47,2024-08-19 14:17:47,113,Tablet,Safari
106,82,2026-04-08 20:16:58,2026-04-08 20:31:58,15,Desktop,Firefox
107,444,2025-05-02 14:55:35,2025-05-02 17:28:35,153,Mobile,Firefox
108,723,2025-07-10 07:10:21,2025-07-10 07:47:21,37,Tablet,Edge
109,487,2026-02-23 23:44:39,2026-02-24 01:53:39,129,Mobile,Edge
110,454,2024-11-22 17:16:47,2024-11-22 18:24:47,68,Tablet,Firefox
111,342,2025-06-04 20:41:51,2025-06-04 20:53:51,12,Tablet,Firefox
112,895,2026-01-10 12:06:44,2026-01-10 14:59:44,173,Tablet,Safari
113,540,2024-08-03 21:54:51,2024-08-04 01:39:51,225,Mobile,Edge
114,964,2025-10-13 04:57:10,2025-10-13 07:40:10,163,Desktop,Edge
115,828,2024-09-15 22:29:46,2024-09-16 02:11:46,222,Mobile,Chrome
116,10,2024-12-12 18:57:49,2024-12-12 19:17:49,20,Mobile,Edge
117,861,2026-05-09 10:00:53,2026-05-09 11:10:53,70,Mobile,Firefox
118,771,2024-11-02 22:17:51,2024-11-03 01:34:51,197,Mobile,Safari
119,313,2026-01-06 20:15:47,2026-01-06 22:37:47,142,Mobile,Chrome
120,610,2024-11-16 17:55:03,2024-11-16 18:44:03,49,Mobile,Chrome
121,57,2025-01-06 13:25:50,2025-01-06 17:05:50,220,Mobile,Chrome
122,861,2024-10-17 13:18:40,2024-10-17 16:18:40,180,Mobile,Edge
